date,nyse_advancers,nyse_decliners,nyse_ad,nyse_ad_cum,nyse_ad_cum_trend,nyse_mcclellan,nyse_mcclellan_trend,nyse_pct_above_20d,nyse_pct_above_50d,nyse_pct_above_200d,nyse_common_advancers,nyse_common_decliners,nyse_common_ad,nyse_common_ad_cum,nyse_common_ad_cum_trend,nyse_common_mcclellan,nyse_common_mcclellan_trend,nyse_common_pct_above_20d,nyse_common_pct_above_50d,nyse_common_pct_above_200d,nasdaq_advancers,nasdaq_decliners,nasdaq_ad,nasdaq_ad_cum,nasdaq_ad_cum_trend,nasdaq_mcclellan,nasdaq_mcclellan_trend,nasdaq_pct_above_20d,nasdaq_pct_above_50d,nasdaq_pct_above_200d,sp500_advancers,sp500_decliners,sp500_ad,sp500_ad_cum,sp500_ad_cum_trend,sp500_mcclellan,sp500_mcclellan_trend,sp500_pct_above_20d,sp500_pct_above_50d,sp500_pct_above_200d,sp400_advancers,sp400_decliners,sp400_ad,sp400_ad_cum,sp400_ad_cum_trend,sp400_mcclellan,sp400_mcclellan_trend,sp400_pct_above_20d,sp400_pct_above_50d,sp400_pct_above_200d,sp600_advancers,sp600_decliners,sp600_ad,sp600_ad_cum,sp600_ad_cum_trend,sp600_mcclellan,sp600_mcclellan_trend,sp600_pct_above_20d,sp600_pct_above_50d,sp600_pct_above_200d,broad_pct_above_20d,broad_pct_above_50d,broad_pct_above_200d
2023-06-21,797,756,41.0,41.0,,2.0500000000000003,flat,0.0,0.0,0.0,626,548,78.0,78.0,,3.9000000000000004,flat,0.0,0.0,0.0,836,1327,-491.0,-491.0,,-24.55,flat,0.0,0.0,0.0,259,236,23.0,23.0,,1.1500000000000001,flat,0.0,0.0,0.0,181,211,-30.0,-30.0,,-1.5,flat,0.0,0.0,0.0,255,325,-70.0,-70.0,,-3.5,flat,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-22,460,1101,-641.0,-600.0,,-30.307500000000008,falling,0.0,0.0,0.0,364,817,-453.0,-375.0,,-19.335,flat,0.0,0.0,0.0,809,1342,-533.0,-1024.0,,-47.51750000000001,falling,0.0,0.0,0.0,184,312,-128.0,-105.0,,-5.4225,flat,0.0,0.0,0.0,127,263,-136.0,-166.0,,-8.075,flat,0.0,0.0,0.0,150,428,-278.0,-348.0,,-16.875,flat,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-23,325,1240,-915.0,-1515.0,falling,-71.52162500000003,falling,0.0,0.0,0.0,257,925,-668.0,-1043.0,falling,-49.85425000000001,falling,0.0,0.0,0.0,649,1522,-873.0,-1897.0,falling,-83.91712500000003,falling,0.0,0.0,0.0,98,399,-301.0,-406.0,falling,-19.664875000000006,flat,0.0,0.0,0.0,68,325,-257.0,-423.0,falling,-19.706250000000004,flat,0.0,0.0,0.0,80,499,-419.0,-767.0,falling,-35.276250000000005,falling,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-26,1057,510,547.0,-968.0,falling,-33.30209375000005,falling,0.0,0.0,0.0,786,398,388.0,-655.0,falling,-22.898937500000013,flat,0.0,0.0,0.0,935,1213,-278.0,-2175.0,falling,-84.86921875000004,falling,0.0,0.0,0.0,331,165,166.0,-240.0,flat,-8.39378125000001,flat,0.0,0.0,0.0,286,105,181.0,-242.0,flat,-7.652437500000005,flat,0.0,0.0,0.0,388,191,197.0,-570.0,falling,-20.032937500000003,flat,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-27,1228,337,891.0,-77.0,rising,16.742115937499953,flat,0.0,0.0,0.0,957,224,733.0,78.0,rising,17.512349374999985,flat,0.0,0.0,0.0,1374,793,581.0,-1594.0,falling,-42.30891281250004,falling,0.0,0.0,0.0,414,83,331.0,91.0,rising,9.53497281249999,flat,0.0,0.0,0.0,354,39,315.0,73.0,rising,9.391834374999995,flat,0.0,0.0,0.0,492,90,402.0,-168.0,rising,3.3502593749999967,flat,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-28,762,798,-36.0,-113.0,rising,13.09620464062496,flat,0.0,0.0,0.0,607,578,29.0,107.0,rising,16.776437906249985,flat,0.0,0.0,0.0,1128,1029,99.0,-1495.0,falling,-29.808306671875037,falling,0.0,0.0,0.0,211,285,-74.0,17.0,flat,4.566382671874992,flat,0.0,0.0,0.0,193,200,-7.0,66.0,flat,7.817727656249996,flat,0.0,0.0,0.0,279,294,-15.0,-183.0,flat,2.4761414062499965,flat,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-29,1303,262,1041.0,928.0,rising,63.763469458593725,rising,0.0,0.0,0.0,981,198,783.0,890.0,rising,53.76335141093749,rising,0.0,0.0,0.0,1377,766,611.0,-884.0,rising,6.628753111718719,flat,0.0,0.0,0.0,384,111,273.0,290.0,rising,17.645406188281243,flat,0.0,0.0,0.0,325,68,257.0,323.0,rising,19.6327777734375,flat,0.0,0.0,0.0,516,65,451.0,268.0,rising,25.016389835937495,rising,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-30,1081,482,599.0,1527.0,rising,84.66516353066403,rising,0.0,0.0,0.0,788,391,397.0,1287.0,rising,65.81834570039064,rising,0.0,0.0,0.0,1207,928,279.0,-605.0,rising,21.14929546113278,flat,0.0,0.0,0.0,434,63,371.0,661.0,rising,33.63974426386717,rising,0.0,0.0,0.0,281,110,171.0,494.0,rising,25.336481734765627,rising,0.0,0.0,0.0,313,267,46.0,314.0,rising,23.913220294140626,flat,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03,1062,500,562.0,2089.0,rising,100.26278614463084,rising,0.0,0.0,0.0,775,407,368.0,1655.0,rising,74.34627408937111,rising,0.0,0.0,0.0,1273,850,423.0,-182.0,rising,40.65861269257614,rising,0.0,0.0,0.0,310,186,124.0,785.0,rising,34.796704597173814,rising,0.0,0.0,0.0,241,151,90.0,584.0,rising,26.03646621302735,rising,0.0,0.0,0.0,387,195,192.0,506.0,rising,30.1504442344336,rising,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,400,1161,-761.0,1328.0,rising,46.947439548849296,rising,0.0,0.0,0.0,297,883,-586.0,1069.0,rising,33.56592149150258,rising,0.0,0.0,0.0,700,1470,-770.0,-952.0,falling,-2.5142141380026573,flat,0.0,0.0,0.0,176,319,-143.0,642.0,rising,22.261922159165124,flat,0.0,0.0,0.0,85,304,-219.0,365.0,rising,11.05477061087598,flat,0.0,0.0,0.0,100,482,-382.0,124.0,flat,6.632518482211921,flat,0.0,0.0,0.0,0.0,0.0,0.0
